feature,source_min,source_max,source_range,target_min,target_max,n_below_source_min,n_above_source_max,n_out_of_range,pct_grids_out_of_range,max_excess_over_source_max,max_excess_ratio_of_source_range
bus_station,0,1,1,0.0,50.0,0,303,303,0.5872093023255814,49.0,49.0
office,0,3,3,0.0,632.0,0,252,252,0.4883720930232558,629.0,209.66666666666666
marketplace,0,1,1,0.0,289.0,0,219,219,0.42441860465116277,288.0,288.0
service,0,3,3,0.0,629.0,0,133,133,0.25775193798449614,626.0,208.66666666666666
retail,0,6,6,0.0,1571.0,0,131,131,0.25387596899224807,1565.0,260.8333333333333
greenhouse,0,1,1,0.0,9.0,0,121,121,0.23449612403100775,8.0,8.0
sports_centre,0,1,1,0.0,40.0,0,76,76,0.14728682170542637,39.0,39.0
warehouse,0,4,4,0.0,42.0,0,66,66,0.12790697674418605,38.0,9.5
gambling,0,1,1,0.0,44.0,0,63,63,0.12209302325581395,43.0,43.0
pharmacy,0,3,3,0.0,88.0,0,60,60,0.11627906976744186,85.0,28.333333333333332
training,0,1,1,0.0,77.0,0,55,55,0.1065891472868217,76.0,76.0
charging_station,0,1,1,0.0,30.0,0,50,50,0.09689922480620156,29.0,29.0
restaurant,0,43,43,0.0,704.0,0,41,41,0.07945736434108527,661.0,15.372093023255815
clinic,0,4,4,0.0,67.0,0,40,40,0.07751937984496124,63.0,15.75
ice_cream,0,3,3,0.0,57.0,0,33,33,0.06395348837209303,54.0,18.0
parking_entrance,0,7,7,0.0,80.0,0,24,24,0.046511627906976744,73.0,10.428571428571429
atm,0,2,2,0.0,13.0,0,20,20,0.03875968992248062,11.0,5.5
arts_centre,0,1,1,0.0,13.0,0,17,17,0.03294573643410853,12.0,12.0
hospital,0,2,2,0.0,13.0,0,17,17,0.03294573643410853,11.0,5.5
dentist,0,3,3,0.0,14.0,0,15,15,0.029069767441860465,11.0,3.6666666666666665
fast_food,0,21,21,0.0,97.0,0,15,15,0.029069767441860465,76.0,3.619047619047619
bank,0,8,8,0.0,54.0,0,13,13,0.025193798449612403,46.0,5.75
kindergarten,0,2,2,0.0,8.0,0,12,12,0.023255813953488372,6.0,3.0
nightclub,0,2,2,0.0,64.0,0,10,10,0.01937984496124031,62.0,31.0
public,0,1,1,0.0,5.0,0,10,10,0.01937984496124031,4.0,4.0
exhibition_centre,0,1,1,0.0,10.0,0,9,9,0.01744186046511628,9.0,9.0
internet_cafe,0,1,1,0.0,5.0,0,9,9,0.01744186046511628,4.0,4.0
veterinary,0,1,1,0.0,6.0,0,8,8,0.015503875968992248,5.0,5.0
driving_school,0,1,1,0.0,4.0,0,8,8,0.015503875968992248,3.0,3.0
cafe,0,14,14,0.0,37.0,0,8,8,0.015503875968992248,23.0,1.6428571428571428
cinema,0,1,1,0.0,5.0,0,6,6,0.011627906976744186,4.0,4.0
bar,0,4,4,0.0,17.0,0,5,5,0.009689922480620155,13.0,3.25
car_wash,0,2,2,0.0,9.0,0,4,4,0.007751937984496124,7.0,3.5
dojo,0,1,1,0.0,3.0,0,3,3,0.005813953488372093,2.0,2.0
post_office,0,2,2,0.0,5.0,0,2,2,0.003875968992248062,3.0,1.5
parking,0,125,125,0.0,166.0,0,2,2,0.003875968992248062,41.0,0.328
library,0,1,1,0.0,4.0,0,1,1,0.001937984496124031,3.0,3.0
grave_yard,0,2,2,0.0,3.0,0,1,1,0.001937984496124031,1.0,0.5
detached,0,6,6,0.0,8.0,0,1,1,0.001937984496124031,2.0,0.3333333333333333
place_of_worship,0,8,8,0.0,0.0,0,0,0,0.0,0.0,0.0
school,0,14,14,0.0,8.0,0,0,0,0.0,0.0,0.0
childcare,0,3,3,0.0,0.0,0,0,0,0.0,0.0,0.0
university,0,11,11,0.0,8.0,0,0,0,0.0,0.0,0.0
courthouse,0,3,3,0.0,0.0,0,0,0,0.0,0.0,0.0
fire_station,0,4,4,0.0,0.0,0,0,0,0.0,0.0,0.0
police,0,3,3,0.0,0.0,0,0,0,0.0,0.0,0.0
public_building,0,1,1,0.0,0.0,0,0,0,0.0,0.0,0.0
toilets,0,10,10,0.0,0.0,0,0,0,0.0,0.0,0.0
college,0,10,10,0.0,8.0,0,0,0,0.0,0.0,0.0
fountain,0,12,12,0.0,0.0,0,0,0,0.0,0.0,0.0
recycling,0,1,1,0.0,0.0,0,0,0,0.0,0.0,0.0
clock,0,4,4,0.0,0.0,0,0,0,0.0,0.0,0.0
bicycle_parking,0,10,10,0.0,0.0,0,0,0,0.0,0.0,0.0
car_rental,0,2,2,0.0,0.0,0,0,0,0.0,0.0,0.0
pub,0,2,2,0.0,0.0,0,0,0,0.0,0.0,0.0
post_box,0,1,1,0.0,0.0,0,0,0,0.0,0.0,0.0
fuel,0,7,7,0.0,4.0,0,0,0,0.0,0.0,0.0
bench,0,14,14,0.0,0.0,0,0,0,0.0,0.0,0.0
social_facility,0,1,1,0.0,0.0,0,0,0,0.0,0.0,0.0
sanitary_dump_station,0,3,3,0.0,0.0,0,0,0,0.0,0.0,0.0
telephone,0,4,4,0.0,0.0,0,0,0,0.0,0.0,0.0
drinking_water,0,9,9,0.0,0.0,0,0,0,0.0,0.0,0.0
shower,0,9,9,0.0,0.0,0,0,0,0.0,0.0,0.0
bicycle_rental,0,1,1,0.0,0.0,0,0,0,0.0,0.0,0.0
loading_dock,0,1,1,0.0,1.0,0,0,0,0.0,0.0,0.0
theatre,0,2,2,0.0,1.0,0,0,0,0.0,0.0,0.0
shelter,0,11,11,0.0,0.0,0,0,0,0.0,0.0,0.0
community_centre,0,2,2,0.0,0.0,0,0,0,0.0,0.0,0.0
bicycle_repair_station,0,1,1,0.0,0.0,0,0,0,0.0,0.0,0.0
compressed_air,0,1,1,0.0,0.0,0,0,0,0.0,0.0,0.0
letter_box,0,2,2,0.0,0.0,0,0,0,0.0,0.0,0.0
bbq,0,6,6,0.0,0.0,0,0,0,0.0,0.0,0.0
doctors,0,2,2,0.0,0.0,0,0,0,0.0,0.0,0.0
planetarium,0,1,1,0.0,0.0,0,0,0,0.0,0.0,0.0
animal_boarding,0,1,1,0.0,0.0,0,0,0,0.0,0.0,0.0
prep_school,0,1,1,0.0,0.0,0,0,0,0.0,0.0,0.0
events_venue,0,1,1,0.0,0.0,0,0,0,0.0,0.0,0.0
waste_basket,0,15,15,0.0,0.0,0,0,0,0.0,0.0,0.0
parking_space,0,17,17,0.0,0.0,0,0,0,0.0,0.0,0.0
waste_disposal,0,1,1,0.0,0.0,0,0,0,0.0,0.0,0.0
weighbridge,0,2,2,0.0,0.0,0,0,0,0.0,0.0,0.0
public_bookcase,0,1,1,0.0,0.0,0,0,0,0.0,0.0,0.0
vending_machine,0,1,1,0.0,0.0,0,0,0,0.0,0.0,0.0
stage,0,1,1,0.0,0.0,0,0,0,0.0,0.0,0.0
ranger_station,0,1,1,0.0,0.0,0,0,0,0.0,0.0,0.0
animal_shelter,0,1,1,0.0,0.0,0,0,0,0.0,0.0,0.0
townhall,0,1,1,0.0,0.0,0,0,0,0.0,0.0,0.0
prison,0,2,2,0.0,0.0,0,0,0,0.0,0.0,0.0
studio,0,1,1,0.0,0.0,0,0,0,0.0,0.0,0.0
payment_centre,0,2,2,0.0,0.0,0,0,0,0.0,0.0,0.0
house,0,3222,3222,0.0,0.0,0,0,0,0.0,0.0,0.0
bunker,0,14,14,0.0,0.0,0,0,0,0.0,0.0,0.0
commercial,0,192,192,0.0,21.0,0,0,0,0.0,0.0,0.0
residential,0,168,168,0.0,6.0,0,0,0,0.0,0.0,0.0
roof,0,14,14,0.0,0.0,0,0,0,0.0,0.0,0.0
dormitory,0,24,24,0.0,2.0,0,0,0,0.0,0.0,0.0
chapel,0,1,1,0.0,0.0,0,0,0,0.0,0.0,0.0
apartments,0,618,618,0.0,67.0,0,0,0,0.0,0.0,0.0
