id,n_out_of_range_features,has_out_of_range,pct_features_out_of_range
87309e000ffffff,2,True,0.017543859649122806
87309e001ffffff,4,True,0.03508771929824561
87309e002ffffff,1,True,0.008771929824561403
87309e003ffffff,0,False,0.0
87309e004ffffff,7,True,0.06140350877192982
87309e005ffffff,0,False,0.0
87309e006ffffff,2,True,0.017543859649122806
87309e008ffffff,0,False,0.0
87309e009ffffff,1,True,0.008771929824561403
87309e00affffff,0,False,0.0
87309e00bffffff,2,True,0.017543859649122806
87309e00cffffff,1,True,0.008771929824561403
87309e00dffffff,0,False,0.0
87309e00effffff,0,False,0.0
87309e010ffffff,2,True,0.017543859649122806
87309e011ffffff,0,False,0.0
87309e012ffffff,6,True,0.05263157894736842
87309e013ffffff,3,True,0.02631578947368421
87309e014ffffff,18,True,0.15789473684210525
87309e015ffffff,5,True,0.043859649122807015
87309e016ffffff,5,True,0.043859649122807015
87309e018ffffff,5,True,0.043859649122807015
87309e019ffffff,0,False,0.0
87309e01affffff,0,False,0.0
87309e01bffffff,0,False,0.0
87309e01cffffff,0,False,0.0
87309e01dffffff,3,True,0.02631578947368421
87309e01effffff,3,True,0.02631578947368421
87309e020ffffff,1,True,0.008771929824561403
87309e021ffffff,0,False,0.0
87309e022ffffff,3,True,0.02631578947368421
87309e023ffffff,4,True,0.03508771929824561
87309e024ffffff,0,False,0.0
87309e025ffffff,5,True,0.043859649122807015
87309e026ffffff,1,True,0.008771929824561403
87309e028ffffff,0,False,0.0
87309e029ffffff,0,False,0.0
87309e02affffff,1,True,0.008771929824561403
87309e02bffffff,3,True,0.02631578947368421
87309e02cffffff,1,True,0.008771929824561403
87309e02dffffff,0,False,0.0
87309e02effffff,1,True,0.008771929824561403
87309e030ffffff,4,True,0.03508771929824561
87309e031ffffff,4,True,0.03508771929824561
87309e032ffffff,9,True,0.07894736842105263
87309e033ffffff,18,True,0.15789473684210525
87309e034ffffff,3,True,0.02631578947368421
87309e035ffffff,5,True,0.043859649122807015
87309e036ffffff,0,False,0.0
87309e040ffffff,21,True,0.18421052631578946
87309e041ffffff,9,True,0.07894736842105263
87309e042ffffff,24,True,0.21052631578947367
87309e043ffffff,28,True,0.24561403508771928
87309e044ffffff,7,True,0.06140350877192982
87309e045ffffff,12,True,0.10526315789473684
87309e046ffffff,16,True,0.14035087719298245
87309e048ffffff,10,True,0.08771929824561403
87309e049ffffff,0,False,0.0
87309e04affffff,8,True,0.07017543859649122
87309e04bffffff,0,False,0.0
87309e04cffffff,6,True,0.05263157894736842
87309e04dffffff,9,True,0.07894736842105263
87309e04effffff,11,True,0.09649122807017543
87309e050ffffff,8,True,0.07017543859649122
87309e051ffffff,11,True,0.09649122807017543
87309e052ffffff,10,True,0.08771929824561403
87309e053ffffff,1,True,0.008771929824561403
87309e054ffffff,7,True,0.06140350877192982
87309e055ffffff,9,True,0.07894736842105263
87309e056ffffff,5,True,0.043859649122807015
87309e058ffffff,6,True,0.05263157894736842
87309e059ffffff,3,True,0.02631578947368421
87309e05affffff,0,False,0.0
87309e05bffffff,5,True,0.043859649122807015
87309e05cffffff,17,True,0.14912280701754385
87309e05dffffff,8,True,0.07017543859649122
87309e05effffff,3,True,0.02631578947368421
87309e060ffffff,2,True,0.017543859649122806
87309e061ffffff,3,True,0.02631578947368421
87309e062ffffff,3,True,0.02631578947368421
87309e063ffffff,8,True,0.07017543859649122
87309e064ffffff,31,True,0.2719298245614035
87309e065ffffff,22,True,0.19298245614035087
87309e066ffffff,9,True,0.07894736842105263
87309e068ffffff,3,True,0.02631578947368421
87309e069ffffff,3,True,0.02631578947368421
87309e06affffff,5,True,0.043859649122807015
87309e06bffffff,2,True,0.017543859649122806
87309e06cffffff,3,True,0.02631578947368421
87309e06dffffff,13,True,0.11403508771929824
87309e06effffff,4,True,0.03508771929824561
87309e070ffffff,0,False,0.0
87309e071ffffff,5,True,0.043859649122807015
87309e072ffffff,1,True,0.008771929824561403
87309e073ffffff,4,True,0.03508771929824561
87309e074ffffff,0,False,0.0
87309e075ffffff,0,False,0.0
87309e076ffffff,1,True,0.008771929824561403
87309e080ffffff,1,True,0.008771929824561403
87309e082ffffff,0,False,0.0
87309e084ffffff,1,True,0.008771929824561403
87309e085ffffff,1,True,0.008771929824561403
87309e086ffffff,0,False,0.0
87309e090ffffff,1,True,0.008771929824561403
87309e094ffffff,0,False,0.0
87309e095ffffff,1,True,0.008771929824561403
87309e096ffffff,0,False,0.0
87309e0a0ffffff,1,True,0.008771929824561403
87309e0a1ffffff,2,True,0.017543859649122806
87309e0a2ffffff,2,True,0.017543859649122806
87309e0a3ffffff,0,False,0.0
87309e0a4ffffff,1,True,0.008771929824561403
87309e0a5ffffff,1,True,0.008771929824561403
87309e0a6ffffff,4,True,0.03508771929824561
87309e0a8ffffff,0,False,0.0
87309e0a9ffffff,0,False,0.0
87309e0aaffffff,0,False,0.0
87309e0abffffff,0,False,0.0
87309e0acffffff,3,True,0.02631578947368421
87309e0adffffff,1,True,0.008771929824561403
87309e0aeffffff,0,False,0.0
87309e0b0ffffff,0,False,0.0
87309e0b1ffffff,3,True,0.02631578947368421
87309e0b2ffffff,0,False,0.0
87309e0b3ffffff,2,True,0.017543859649122806
87309e0b4ffffff,4,True,0.03508771929824561
87309e0b5ffffff,14,True,0.12280701754385964
87309e0b6ffffff,0,False,0.0
87309e0c1ffffff,0,False,0.0
87309e0c5ffffff,0,False,0.0
87309e0e0ffffff,5,True,0.043859649122807015
