lat_bin,lon_bin,n_grids,pct_grids_with_any_out_of_range,mean_n_out_of_range_features,max_n_out_of_range_features,center_lat,center_lon
"(31.347, 31.446]","(119.774, 119.899]",31,1.0,11.03225806451613,30,31.397558531224014,119.83476899349154
"(31.446, 31.612]","(119.899, 120.109]",30,0.9666666666666667,4.5,13,31.487372775582525,119.9580090220839
"(31.264, 31.347]","(119.774, 119.899]",28,0.9285714285714286,7.857142857142857,31,31.311144964902315,119.83873394800774
"(31.347, 31.446]","(119.656, 119.774]",32,0.90625,3.75,12,31.399424944756934,119.7122128776036
"(31.446, 31.612]","(119.656, 119.774]",39,0.8974358974358975,4.076923076923077,23,31.515773995202355,119.70620860931395
"(31.264, 31.347]","(119.523, 119.656]",30,0.7666666666666667,3.033333333333333,18,31.302167147968174,119.58846248196372
"(31.112, 31.264]","(119.774, 119.899]",35,0.7428571428571429,5.514285714285714,28,31.215612701018433,119.83793598340638
"(31.347, 31.446]","(119.899, 120.109]",34,0.7058823529411765,3.176470588235294,19,31.39354093061658,119.96771572866972
"(31.347, 31.446]","(119.523, 119.656]",32,0.6875,2.03125,12,31.392807693987823,119.59357318572145
"(31.446, 31.612]","(119.523, 119.656]",25,0.68,2.08,11,31.510609909627586,119.61849644523265
"(31.264, 31.347]","(119.656, 119.774]",28,0.6785714285714286,1.75,7,31.305879606302636,119.7159707137364
"(31.112, 31.264]","(119.523, 119.656]",42,0.6428571428571429,2.2142857142857144,18,31.19295748047643,119.59550093129305
"(31.112, 31.264]","(119.656, 119.774]",30,0.5666666666666667,1.8333333333333333,5,31.21671099510115,119.71282895539248
"(31.446, 31.612]","(119.774, 119.899]",35,0.5428571428571428,3.4857142857142858,23,31.49257387187231,119.83634132245892
"(31.264, 31.347]","(119.899, 120.109]",43,0.16279069767441862,1.2093023255813953,17,31.3018389696456,120.00283797646475
"(31.112, 31.264]","(119.899, 120.109]",22,0.09090909090909091,0.3181818181818182,6,31.231044090241316,119.95431452805964
